交換の場所,あげるチップ,もらうチップ
"秋原町の学校の塀のそばにいる少年
※2話以降","ダッシュアタックJ
秋原町のイヌごやの電脳に現れるキオルシンをバスティングレベル6で撃破",スプレッドガン*
"おくデンだにのキャンプじょうへのみち1の川の前にいる少年
※4話以降",インビジブル1*,エスケープN
"マリンハーバーのライセンス　じむきょくのお姉さん
※4話以降",エスケープN,ブレイクハンマーZ
"メトロマリン駅の売店の近くにいる少年
※4話以降","ポイズンマスクS
アメロッパくうこう入り口のめんぜいてんの電脳に現れるバジリコを高いバスティングレベルで撃破。
マザーコンピュータの電脳4、5でも現れるが、めんぜいてんの電脳の方が入手しやすい。",バリアブルソードB
"アメロッパスクエアの紫色のナビ
※5話以降",ブレイクハンマーZ,シルバーフィストV
"アメロッパのうらどおりのお兄さん
※6話以降",ユカシタD,ネップウP
"アメロッパタウンのおばあさん
※7話以降",シルバーフィストV,ビッグボム*
"アメロッパくうこう入り口の免税店の前にいる少女
※7話以降","アクアオーラA
フレイムオーラR
ウッドオーラS
エレキオーラL",アンダーシャツN
"マリンハーバーのマザーコンピュータべやにいるお姉さん
※8話以降",ビッグボム*,お姉さんのフォルダ
"くうこうのファーストクラスのテレビの前にいる少年
※8話以降","シャドーマンS
シャドーマンV2S
シャドーマンV3S",カワリミS
