バトルチップ,チップコード,レア度
キャノン,ABC*,☆1
ハイキャノン,LMN*,☆2
エアシュート,*,☆2
バルカン1,BDS*,☆1
バルカン2,DFL,☆2
スプレッドガン1,LMN*,☆1
スプレッドガン2,ABC*,☆2
センシャホウ1,AGR,☆1
センシャホウ2,LSV,☆2
ガンデルソル1,CMT*,☆2
ガンデルソル2,BER,☆3
ヨーヨー,LMN*,☆3
ヘルズバーナー1,FGH*,☆1
ヘルズバーナー2,STU,☆2
トレインアロー1,AFK,☆1
トレインアロー2,GMZ,☆2
バブルスター1,BET,☆1
バブルスター2,CLV,☆2
サンダーボール,BRS*,☆2
ドールサンダー1,AEQ,☆1
ドールサンダー2,CLP,☆2
エレキパルス1,JLS,☆1
エレキパルス2,AEJ,☆2
コーンショット1,JKL,☆1
コーンショット2,CDE,☆2
リスキーハニー1,BGS,☆1
リスキーハニー2,CRV,☆2
ローリングログ1,IKP,☆1
ローリングログ2,EQZ,☆2
アイアンシェル1,JKL,☆1
アイアンシェル2,CDE,☆2
オーラヘッド1,BCD,☆1
エアホッケー,LMN,☆3
ドリルアーム,GMW,☆3
トルネード,LRT,☆3
マシンガン1,ART*,☆1
マシンガン2,EGS,☆2
ミニボム,BLR*,☆1
ビッグボム,OPV,☆4
エナジーボム,CKV*,☆2
メガエナジーボム,GMO*,☆3
ブラックボム,BFO,☆4
クサムラシード,AFS*,☆2
アイスシード,ALR*,☆2
ソード,HLS*,☆1
ワイドソード,HLS*,☆2
ロングソード,HLS*,☆3
ワイドブレード,BRW,☆4
ロングブレード,BMV,☆4
フレイムソード,FOZ,☆2
アクアソード,AIY,☆3
エレキソード,EKN,☆3
バンブーソード,HSW,☆3
フウジンラケット,FJR*,☆3
フミコミザン,BLP,☆3
バリアブルソード,KVW,☆3
エンゲツクナイ,AMT,☆3
クラックシュート,AGT*,☆1
ダブルシュート,CRU*,☆2
トリプルシュート,JLV*,☆3
リフレクメット1,ACP*,☆1
リフレクメット2,BGY*,☆2
ウェーブアーム1,EFG,☆1
ウェーブアーム2,LMN,☆2
サモンブラック1,EIP,☆1
カモンスネーク,HLM,☆4
ファイアパンチ1,DEF,☆1
ファイアパンチ2,RST,☆2
バーンスクエア1,HPV,☆1
アクアニードル1,CJP,☆1
アクアニードル2,FKT,☆2
キラーセンサー1,JOW,☆1
ブーメラン,JKT,☆2
ハイブーメラン,BLV,☆3
バンブーランス,ARW*,☆4
ゴーレムパンチ1,IKY,☆1
ゴーレムパンチ2,DPU,☆2
エアホイール1,FGR,☆2
エアホイール2,ALT,☆3
トップウ,*,☆2
スイコミ,*,☆2
マグナム,FLW,☆3
サークルガン,PTV,☆3
ストーンキューブ,*,☆1
リトルボイラー1,FKL,☆1
リトルボイラー2,EMV,☆2
エアレイド1,GKR,☆1
エアレイド2,OTY,☆2
カウントボム1,FGH,☆2
カウントボム2,CDE,☆3
ステルスマイン,AST,☆3
オウエンカ,PSZ*,☆2
ディスコード,AGS*,☆2
リカバリー10,ADL*,☆1
リカバリー30,ELQ*,☆1
リカバリー50,CMP*,☆1
リカバリー80,HKV*,☆2
リカバリー120,FPS,☆2
リカバリー150,JMT,☆3
パネルスチール,*,☆1
エリアスチール,BFS*,☆2
スチールパニシュ,BMS,☆3
パネルリターン,*,☆2
ホーリーパネル,ABS*,☆2
カミングロード,*,☆1
ゴーイングロード,*,☆1
ヘビーゲージ,ABG*,☆3
クイックゲージ,EMR*,☆3
フルカスタム,*,☆4
バスターアップ,*,☆2
インビジブル,*,☆3
バリア,AFR*,☆2
バリア100,HOY,☆3
バブルラップ,IQZ,☆3
マグネコイル,*,☆1
カーネルアーミー,BGR*,☆3
エレメントラップ,GSU*,☆3
ナビスカウト,FLT*,☆4
カワリミ,GRV*,☆3
シラハドリ,ARZ*,☆3
バッドメディスン,AFV*,☆3
ホワイトカプセル,*,☆2
アンインストール,GLR,☆4
コピーダメージ,*,☆2
ライフシンクロ,*,☆2
アタック+10,*,☆1
アタック+30,*,☆4
ナビ+20,*,☆3
カラーポイント,*,☆2
ダブルポイント,*,☆4
