No,名称,属性,攻撃力,特性,容量,枚数制限,レア度,コード
1,キャノン,無,40,"[の]
[無]",6,5,☆1,ABC*
2,ハイキャノン,無,100,"[の]
[無]",24,4,☆2,LMN*
3,メガキャノン,無,180,"[の]
[無]",38,3,☆3,RST*
4,エアシュート,無,20,"[の]
[吹]",4,5,☆2,*
5,バルカン1,無,10,[の],5,5,☆1,BDS*
6,バルカン2,無,15,[の],18,5,☆2,DFL
7,バルカン3,無,20,[の],30,3,☆3,AGR
8,スーパーバルカン,無,20,[の],75,1,☆4,V
9,スプレッドガン1,無,30,,10,5,☆1,LMN*
10,スプレッドガン2,無,60,,18,5,☆2,ABC*
11,スプレッドガン3,無,90,,26,4,☆3,QRS*
12,センシャホウ1,無,120,"[の]
[無]
[吹]
[地]",17,5,☆1,AGR
13,センシャホウ2,無,160,"[の]
[無]
[吹]
[地]",28,4,☆2,LSV
14,センシャホウ3,無,200,"[の]
[無]
[吹]
[地]",39,3,☆3,BMP
15,ガンデルソル1,無,0,"[ブ]
[イ]
[地]",15,5,☆2,CMT*
16,ガンデルソル2,無,0,"[ブ]
[イ]
[地]",30,3,☆3,BER
17,ガンデルソル3,無,0,"[ブ]
[イ]
[地]",38,3,☆4,NQW
18,ヨーヨー,無,50,"[の]
[ソ]",32,3,☆3,LMN*
19,ヘルズバーナー1,炎,70,"[の]
[無]
[地]",8,5,☆1,FGH*
20,ヘルズバーナー2,炎,110,"[の]
[無]
[地]",21,4,☆2,STU
21,ヘルズバーナー3,炎,150,"[の]
[無]
[地]",34,3,☆3,CDE
22,ワイドショット,水,100,"[の]
[無]",34,3,☆3,PQR
23,トレインアロー1,水,30,[の],30,3,☆1,AFK
24,トレインアロー2,水,40,[の],36,3,☆2,GMZ
25,トレインアロー3,水,50,[の],42,2,☆3,MSY
26,バブルスター1,水,60,[泡],30,3,☆1,BET
27,バブルスター2,水,80,[泡],38,3,☆2,CLV
28,バブルスター3,水,100,[泡],46,2,☆3,GRS
29,サンダーボール,電気,40,[マ],7,5,☆2,BRS*
30,ドールサンダー1,電気,120,"[の]
[無]",24,4,☆1,AEQ
31,ドールサンダー2,電気,150,"[の]
[無]",31,3,☆2,CLP
32,ドールサンダー3,電気,180,"[の]
[無]",38,3,☆3,BRV
33,エレキパルス1,電気,100,"[イ]
[マ]",32,3,☆1,JLS
34,エレキパルス2,電気,120,"[イ]
[マ]",36,3,☆2,AEJ
35,エレキパルス3,電気,140,"[イ]
[マ]",40,2,☆3,AJS
36,コーンショット1,木,50,[の],14,5,☆1,JKL
37,コーンショット2,木,60,[の],26,4,☆2,CDE
38,コーンショット3,木,70,[の],38,3,☆3,PQR
39,リスキーハニー1,木,10,[の],21,4,☆1,BGS
40,リスキーハニー2,木,15,[の],28,4,☆2,CRV
41,リスキーハニー3,木,20,[の],35,3,☆3,ADM
42,ローリングログ1,木,50,[の],14,5,☆1,IKP
43,ローリングログ2,木,70,[の],26,4,☆2,EQZ
