バトルチップ,チップコード,レア度
キャノン,ABC,1
ハイキャノン,LMN,2
エアシュート,*,2
バルカン1,BDS,1
バルカン2,DFL,2
スプレッドガン1,LMN,1
スプレッドガン2,ABC,2
センシャホウ1,AGR,1
ガンデルソル1,CMT,2
ヨーヨー,LMN,3
ヘルズバーナー1,FGH,1
ヘルズバーナー2,STU,2
トレインアロー1,AFK,1
トレインアロー2,GMZ,2
バブルスター1,BET,1
バブルスター2,CLV,2
サンダーボール,BRS,2
コーンショット1,JKL,1
リスキーハニー1,BGS,1
ローリングログ1,IKP,1
アイアンシェル1,JKL,1
アイアンシェル2,CDE,2
マシンガン1,ART,1
マシンガン2,EGS,2
ミニボム,BLR,1
エナジーボム,CKV,2
フラッシュボム1,JLQ,1
クサムラシード,AFS,2
アイスシード,ALR,2
ソード,HLS,1
ワイドソード,HLS,2
ロングソード,HLS,3
クラックシュート,AGT,1
ダブルシュート,CRU,2
トリプルシュート,JLV,3
リフレクメット1,ACP,1
リフレクメット2,BGY,2
ウェーブアーム1,EFG,1
ウェーブアーム2,LMN,2
ファイアパンチ1,DEF,1
ファイアパンチ2,RST,2
アクアニードル1,CJP,1
アクアニードル2,FKT,2
ブーメラン,JKT,2
ゴーレムパンチ1,IKY,1
ゴーレムパンチ2,DPU,2
エアホイール1,FGR,2
トップウ,*,2
スイコミ,*,2
ストーンキューブ,*,1
リトルボイラー1,FKL,1
カウントボム1,FGH,2
オウエンカ,PSZ,2
リカバリー10,ADL,1
リカバリー30,ELQ,1
リカバリー50,CMP,1
リカバリー80,HKV,2
パネルスチール,*,1
エリアスチール,BFS,2
パネルリターン,*,2
カミングロード,*,1
ゴーイングロード,*,1
インビジブル,*,3
バリア,AFR,2
マグネコイル,*,1
ホワイトカプセル,*,2
コピーダメージ,*,2
ライフシンクロ,*,2
アタック+10,*,1
カラーポイント,*,2
