バトルチップ,チップコード,レア度
ハイキャノン,LMN*,☆2
メガキャノン,RST*,☆3
バルカン2,DFL,☆2
バルカン3,AGR,☆3
スプレッドガン2,ABC*,☆2
スプレッドガン3,QRS*,☆3
センシャホウ2,LSV,☆2
センシャホウ3,BMP,☆3
ガンデルソル2,BER,☆3
ヨーヨー,LMN*,☆3
ヘルズバーナー2,STU,☆2
ヘルズバーナー3,CDE,☆3
ワイドショット,PQR,☆3
トレインアロー2,GMZ,☆2
トレインアロー3,MSY,☆3
バブルスター2,CLV,☆2
バブルスター3,GRS,☆3
ドールサンダー2,CLP,☆2
ドールサンダー3,BRV,☆3
エレキパルス2,AEJ,☆2
エレキパルス3,AJS,☆3
コーンショット2,CDE,☆2
コーンショット3,PQR,☆3
リスキーハニー2,CRV,☆2
リスキーハニー3,ADM,☆3
ローリングログ2,EQZ,☆2
ローリングログ3,FNW,☆3
アイアンシェル2,CDE,☆2
アイアンシェル3,LMN,☆3
オーラヘッド2,DEF,☆2
オーラヘッド3,FGH,☆3
エアホッケー,LMN,☆3
ドリルアーム,GMW,☆3
トルネード,LRT,☆3
マシンガン2,EGS,☆2
マシンガン3,BFM,☆3
ビッグボム,OPV,☆4
メガエナジーボム,GMO*,☆3
フラッシュボム1,JLQ*,☆1
フラッシュボム2,GKR,☆2
フラッシュボム3,HPS,☆3
ブラックボム,BFO,☆4
バグボム,GSV,☆3
ワイドブレード,BRW,☆4
ロングブレード,BMV,☆4
フレイムソード,FOZ,☆2
アクアソード,AIY,☆3
エレキソード,EKN,☆3
バンブーソード,HSW,☆3
フウジンラケット,FJR*,☆3
フミコミザン,BLP,☆3
バリアブルソード,KVW,☆3
エンゲツクナイ,AMT,☆3
マシーンソード,HLQ,☆1
エレメントソード,JMU,☆2
リフレクメット2,BGY*,☆2
リフレクメット3,EFO*,☆3
ウェーブアーム2,LMN,☆2
ウェーブアーム3,RST,☆3
サンドワーム1,AGL,☆1
サンドワーム2,BRY,☆2
サモンブラック2,HOV,☆2
サモンブラック3,WYZ,☆3
カモンスネーク,HLM,☆4
ファイアパンチ2,RST,☆2
ファイアパンチ3,ABC,☆3
バーンスクエア2,DMT,☆2
バーンスクエア3,EOZ,☆3
アクアニードル2,FKT,☆2
アクアニードル3,ALU,☆3
キラーセンサー2,NUY,☆2
キラーセンサー3,IKQ,☆3
ハイブーメラン,BLV,☆3
バンブーランス,ARW*,☆4
ヒートドラゴン,GRT,☆3
エレキドラゴン,ALV,☆3
アクアドラゴン,HPS,☆4
ゴーレムパンチ2,DPU,☆2
ゴーレムパンチ3,HMV,☆3
エアホイール1,FGR,☆2
エアホイール2,ALT,☆3
トップウ,*,☆2
スイコミ,*,☆2
マグナム,FLW,☆3
サークルガン,PTV,☆3
ストーンキューブ,*,☆1
リトルボイラー2,EMV,☆2
リトルボイラー3,GSZ,☆3
エアレイド2,OTY,☆2
エアレイド3,NUZ,☆3
カウントボム1,FGH,☆2
カウントボム2,CDE,☆3
ステルスマイン,AST,☆3
オウエンカ,PSZ*,☆2
ディスコード,AGS*,☆2
ティンパニー,IOT*,☆2
サイレンス,BRW*,☆2
ワラニンギョウ,FNS*,☆4
リカバリー10,ADL*,☆1
リカバリー30,ELQ*,☆1
リカバリー50,CMP*,☆1
リカバリー80,HKV*,☆2
リカバリー120,FPS,☆2
リカバリー150,JMT,☆3
リカバリー200,IQZ,☆3
パネルスチール,*,☆1
エリアスチール,BFS*,☆2
スチールパニシュ,BMS,☆3
スチールリベンジ,IQZ,☆4
パネルリターン,*,☆2
デスマッチ,ALR*,☆3
ホーリーパネル,ABS*,☆2
カミングロード,*,☆1
ゴーイングロード,*,☆1
ヘビーゲージ,ABG*,☆3
クイックゲージ,EMR*,☆3
バスターアップ,*,☆2
バグシュウセイ,KPZ*,☆4
インビジブル,*,☆3
バリア,AFR*,☆2
バリア100,HOY,☆3
バリア200,KUW,☆4
バブルラップ,IQZ,☆3
マグネコイル,*,☆1
カーネルアーミー,BGR*,☆3
エレメントラップ,GSU*,☆3
ナビスカウト,FLT*,☆4
カワリミ,GRV*,☆3
シラハドリ,ARZ*,☆3
バッドメディスン,AFV*,☆3
ホワイトカプセル,*,☆2
アンインストール,GLR,☆4
コピーダメージ,*,☆2
ライフシンクロ,*,☆2
アタック+10,*,☆1
ナビ+20,*,☆3
カラーポイント,*,☆2
ロール,R*,☆3
ロールV2,R,☆4
ブルース,B*,☆3
ブルースEX,B,☆4
ヒートマン,H*,☆3
ヒートマンEX,H,☆4
エレキマン,E*,☆3
エレキマンEX,E,☆4
スラッシュマン,S*,☆3
スラッシュマンEX,S,☆4
キラーマン,K*,☆3
キラーマンEX,K,☆4
チャージマン,C*,☆3
チャージマンEX,C,☆4
アクアマン,A*,☆3
アクアマンEX,A,☆4
トマホークマン,T*,☆3
トマホークマンEX,T,☆4
テングマン,T*,☆3
テングマンEX,T,☆4
グランドマン,G*,☆3
グランドマンEX,G,☆4
ダストマン,D*,☆3
ダストマンEX,D,☆4
ブラストマン,B*,☆3
ブラストマンEX,B,☆4
ダイブマン,D*,☆3
ダイブマンEX,D,☆4
サーカスマン,C*,☆3
サーカスマンEX,C,☆4
ジャッジマン,J*,☆3
ジャッジマンEX,J,☆4
エレメントマン,E*,☆3
エレメントマンEX,E,☆4
カーネル,C*,☆3
カーネルEX,C,☆4
