バトルチップ,チップコード,レア度
キャノン,ABC,☆1
ハイキャノン,LMN,☆2
メガキャノン,RST,☆3
エアシュート,*,☆2
バルカン1,BDS,☆1
バルカン2,DFL,☆2
スプレッドガン1,LMN,☆1
スプレッドガン2,ABC,☆2
センシャホウ1,AGR,☆1
センシャホウ2,LSV,☆2
ガンデルソル1,CMT,☆2
ガンデルソル2,BER,☆3
ヘルズバーナー1,FGH,☆1
ヘルズバーナー2,STU,☆2
トレインアロー1,AFK,☆1
トレインアロー2,GMZ,☆2
バブルスター1,BET,☆1
バブルスター2,CLV,☆2
サンダーボール,BRS,☆2
ドールサンダー1,AEQ,☆1
ドールサンダー2,CLP,☆2
エレキパルス1,JLS,☆1
エレキパルス2,AEJ,☆2
コーンショット1,JKL,☆1
コーンショット2,CDE,☆2
リスキーハニー1,BGS,☆1
リスキーハニー2,CRV,☆2
オーラヘッド2,DEF,☆2
マシンガン1,ART,☆1
マシンガン2,EGS,☆2
ミニボム,BLR,☆1
エナジーボム,CKV,☆2
メガエナジーボム,GMO,☆3
フラッシュボム1,JLQ,☆1
ソード,HLS,☆1
ワイドソード,HLS,☆2
ロングソード,HLS,☆3
フレイムソード,FOZ,☆2
アクアソード,AIY,☆3
クラックシュート,AGT,☆1
ダブルシュート,CRU,☆2
トリプルシュート,JLV,☆3
リフレクメット1,ACP,☆1
リフレクメット2,BGY,☆2
ウェーブアーム1,EFG,☆1
ウェーブアーム2,LMN,☆2
サンドワーム1,AGL,☆1
サモンブラック1,EIP,☆1
サモンブラック2,HOV,☆2
アクアニードル2,FKT,☆2
キラーセンサー1,JOW,☆1
キラーセンサー2,NUY,☆2
ブーメラン,JKT,☆2
ゴーレムパンチ1,IKY,☆1
ゴーレムパンチ2,DPU,☆2
エアホイール1,FGR,☆2
トップウ,*,☆2
スイコミ,*,☆2
ストーンキューブ,*,☆1
リトルボイラー1,FKL,☆1
リトルボイラー2,EMV,☆2
エアレイド1,GKR,☆1
エアレイド2,OTY,☆2
カウントボム1,FGH,☆2
オウエンカ,PSZ,☆2
ディスコード,AGS,☆2
ティンパニー,IOT,☆2
リカバリー10,ADL,☆1
リカバリー30,ELQ,☆1
リカバリー50,CMP,☆1
リカバリー80,HKV,☆2
リカバリー120,FPS,☆2
リカバリー150,JMT,☆3
パネルスチール,*,☆1
エリアスチール,BFS,☆2
パネルリターン,*,☆2
カミングロード,*,☆1
ゴーイングロード,*,☆1
バスターアップ,*,☆2
インビジブル,*,☆3
バリア,AFR,☆2
マグネコイル,*,☆1
ホワイトカプセル,*,☆2
コピーダメージ,*,☆2
ライフシンクロ,*,☆2
アタック+10,*,☆1
カラーポイント,*,☆2
ロール,R,☆3
ヒートマン,H,☆3
エレキマン,E,☆3
スラッシュマン,S,☆3
キラーマン,K,☆3
チャージマン,C,☆3
アクアマン,A,☆3
トマホークマン,T,☆3
テングマン,T,☆3
グランドマン,G,☆3
ダストマン,D,☆3
ブラストマン,B,☆3
ダイブマン,D,☆3
サーカスマン,C,☆3
ジャッジマン,J,☆3
エレメントマン,E,☆3
