No,名称,属性,攻撃力,特性,容量,枚数制限,レア度,コード
1,"フォルテ
(グレイガ版)",無,60,"[暗]
[の]
[無]
[地]",95,1,☆5,F
2,"ギガントフック
(グレイガ版)",ブレイク,240,"[暗]
[の]
[無]
[ブ]",92,1,☆5,H
3,"デルタレイエッジ
(グレイガ版)",ソード,260,"[暗]
[の]
[無]
[ソ]",82,1,☆5,Z
4,"カーネルフォース
(グレイガ版)",無,30,,90,1,☆5,Q
5,"バグライズソード
(グレイガ版)",ソード,0,[暗],80,1,☆5,V
1,"フォルテアナザー
(ファルザー版)",無,160,[暗],95,1,☆5,F
2,"メテオナックル
(ファルザー版)",ブレイク,100,[暗],90,1,☆5,N
3,"クロスディバイド
(ファルザー版)",ソード,250,"[暗]
[の]
[無]
[ソ]",93,1,☆5,D
4,"サイトバッチ
(ファルザー版)",無,0,[暗],99,1,☆5,J
5,"バグデスサンダー
(ファルザー版)",電気,0,"[暗]
[の]
[マ]",80,1,☆5,V
-,"グレイガ
(グレイガ版)",無,300,"[暗]
[の]
[無]
[ブ]
[地]",99,1,☆5,X
-,"ファルザー
(ファルザー版)",無,100,"[暗]
[の]
[無]
[地]",99,1,☆5,X
